epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5440.07,1.63036,1.28885,1.13234,0.68156,0.75595,0.76635,0.35399,2.01768,1.35181,1.48195,0.000990365,0.000990365,0.000990365
43,5530.33,1.53159,1.13361,1.09428,0.73272,0.80357,0.79864,0.29472,2.15138,1.34593,1.561,0.000973861,0.000973861,0.000973861
44,5628.29,1.55225,1.16368,1.09128,0.87471,0.81327,0.90731,0.36732,2.03704,1.20678,1.44484,0.000957358,0.000957358,0.000957358
45,5716.6,1.57018,1.17516,1.10086,0.70192,0.84741,0.82067,0.35617,1.9636,1.20955,1.37982,0.000940855,0.000940855,0.000940855
46,5805.94,1.47544,1.13398,1.0741,0.70071,0.71902,0.76948,0.29687,2.06715,1.44442,1.3926,0.000924352,0.000924352,0.000924352
47,5916.51,1.48386,1.09176,1.08292,0.74281,0.71063,0.79932,0.34298,2.00537,1.29934,1.37854,0.000907848,0.000907848,0.000907848
48,6010.18,1.54597,1.12634,1.103,0.52077,0.89261,0.66695,0.2689,2.12748,1.44044,1.42508,0.000891345,0.000891345,0.000891345
49,6109.89,1.45349,1.09585,1.08194,0.61802,0.73214,0.67785,0.27676,2.00844,1.38819,1.39676,0.000874842,0.000874842,0.000874842
50,6201.82,1.49455,1.05044,1.05314,0.57878,0.77083,0.65306,0.27264,2.07807,1.4486,1.43147,0.000858338,0.000858338,0.000858338
51,6292.72,1.5025,1.05696,1.09611,0.59739,0.71726,0.67247,0.27109,1.99286,1.36229,1.38759,0.000841835,0.000841835,0.000841835
52,6386.94,1.49232,1.02544,1.0882,0.69105,0.80912,0.77942,0.32983,1.97215,1.21069,1.37069,0.000825332,0.000825332,0.000825332
53,6477.56,1.43052,1.06614,1.07602,0.70604,0.7507,0.74164,0.3463,1.93182,1.18096,1.32397,0.000808828,0.000808828,0.000808828
54,6561.45,1.46785,1.03853,1.05744,0.77587,0.74606,0.76476,0.32872,1.91905,1.20191,1.34604,0.000792325,0.000792325,0.000792325
55,6655.48,1.43413,1.01012,1.06692,0.74721,0.75595,0.7966,0.37025,2.00648,1.28498,1.38342,0.000775822,0.000775822,0.000775822
56,6755.65,1.34842,0.97655,1.03236,0.70096,0.88988,0.8632,0.36556,1.93592,1.19301,1.41594,0.000759318,0.000759318,0.000759318
57,6850.59,1.39857,0.98327,1.04131,0.78912,0.80357,0.84432,0.36003,1.97961,1.19129,1.40876,0.000742815,0.000742815,0.000742815
58,10293.3,1.3445,0.93912,1.01238,0.89103,0.85644,0.88873,0.38791,1.94316,1.14008,1.38932,0.000726312,0.000726312,0.000726312
59,10423.6,1.423,0.95399,1.04227,0.86852,0.81755,0.89351,0.40318,2.00274,1.15092,1.40457,0.000709809,0.000709809,0.000709809
60,10529.4,1.3472,0.92899,1.02778,0.74834,0.84226,0.8398,0.37465,2.00268,1.19505,1.43104,0.000693305,0.000693305,0.000693305
61,10624.7,1.37196,0.92899,1.03288,0.75635,0.90476,0.85029,0.38536,2.03232,1.11827,1.48794,0.000676802,0.000676802,0.000676802
62,10746.2,1.32668,0.91982,1.026,0.91381,0.81587,0.89781,0.38656,2.07715,1.14732,1.5188,0.000660299,0.000660299,0.000660299
63,10849,1.37594,0.88588,1.02009,0.91431,0.88531,0.9073,0.3701,2.05484,1.11748,1.52403,0.000643795,0.000643795,0.000643795
64,10946.5,1.33738,0.87902,0.9986,0.86525,0.86299,0.87479,0.36482,2.09579,1.15297,1.51309,0.000627292,0.000627292,0.000627292
65,11048.4,1.36037,0.87558,1.0164,0.85224,0.8377,0.84816,0.36303,2.04391,1.14343,1.49673,0.000610789,0.000610789,0.000610789
66,11142.7,1.38739,0.91942,1.01714,0.87697,0.77976,0.83488,0.34697,2.03224,1.20581,1.44862,0.000594286,0.000594286,0.000594286
67,11239,1.32812,0.88464,1.01153,0.85023,0.73705,0.81286,0.35291,1.93963,1.29444,1.39346,0.000577782,0.000577782,0.000577782
68,11332.1,1.23864,0.86353,0.99731,0.71073,0.84709,0.82543,0.35539,1.99215,1.18638,1.38902,0.000561279,0.000561279,0.000561279
69,11432.8,1.20803,0.83703,0.99154,0.77198,0.83875,0.83718,0.37501,2.01543,1.15167,1.39615,0.000544776,0.000544776,0.000544776
70,11528.2,1.33702,0.83858,0.97716,0.77417,0.87506,0.84056,0.36129,2.02706,1.23928,1.37508,0.000528272,0.000528272,0.000528272
71,11676.7,1.37149,0.94434,1.00706,0.77334,0.78293,0.81569,0.33912,2.08146,1.28889,1.376,0.000511769,0.000511769,0.000511769
72,11858.9,1.30614,0.84551,0.98725,0.76718,0.69345,0.77399,0.33785,2.00666,1.25403,1.37767,0.000495266,0.000495266,0.000495266
73,11983.7,1.28489,0.8383,0.97487,0.68815,0.76091,0.78602,0.3512,2.03683,1.28602,1.38322,0.000478762,0.000478762,0.000478762
74,12100.8,1.23029,0.80583,0.97153,0.70706,0.80822,0.80934,0.37363,2.03113,1.28459,1.40923,0.000462259,0.000462259,0.000462259
75,12247.4,1.2449,0.8176,1.01119,0.67894,0.86056,0.81999,0.3824,1.95523,1.21922,1.37887,0.000445756,0.000445756,0.000445756
76,12450.1,1.27707,0.87723,1.01347,0.63051,0.88095,0.74732,0.36892,1.97045,1.32387,1.35548,0.000429253,0.000429253,0.000429253
77,12569.7,1.22267,0.79276,0.96995,0.70958,0.79265,0.76743,0.37146,1.94827,1.27447,1.35549,0.000412749,0.000412749,0.000412749
78,12679.8,1.21442,0.80299,0.98829,0.70592,0.77976,0.78464,0.3763,1.96747,1.24352,1.38207,0.000396246,0.000396246,0.000396246
